Article_Title,English,Vietnamese,Source
Why does the Middle East have so much oil?,"“The combination of multiple geological factors gives the Middle East enormous oil and gas reserves on both sides of the Persian Gulf,” said Mark Allen, a professor of Earth sciences at Durham University, in an interview with Scientific American.","“Sự kết hợp của nhiều yếu tố địa chất khiến Trung Đông có trữ lượng dầu khí khổng lồ ở cả hai bên của Vịnh Ba Tư”, Mark Allen, giáo sư khoa học Trái Đất tại Đại học Durham, nói với Scientific American.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"Today, the Middle East is known for its hot deserts and arid landscapes. But around 50–250 million years ago, a vast ocean called Tethys Ocean existed here. Situated between the ancient continents Gondwana and Laurasia, this ocean teemed with life—from plankton, coral reefs, and fish to cephalopods and marine reptiles.","Ngày nay, Trung Đông nổi tiếng với những sa mạc nắng nóng và cảnh quan khô cằn. Nhưng khoảng 50-250 triệu năm trước, nơi này tồn tại một đại dương rộng lớn mang tên Tethys. Nằm giữa hai lục địa cổ đại Gondwana và Laurasia, đại dương này tràn ngập sự sống, từ sinh vật phù du, rạn san hô, cá, đến động vật chân đầu và bò sát biển.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"As tectonic plates shifted, the African and Arabian plates gradually collidedwith the Eurasian plate. This slow collision caused the Tethys Ocean to shrink and eventually close, forming a massive graveyard of organisms buried beneath what is now the Middle East.","Khi các mảng kiến tạo dịch chuyển, mảng châu Phi và mảng Arab dần dần vachạm với mảng Á-Âu. Vụ va chạm chậm rãi khiến Tethys thu hẹp, cuối cùng đóng lại, tạo thành nghĩa địa sinh vật khổng lồ chôn vùi dưới Trung Đông ngày nay.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"Normally, dead organisms decompose and disappear. However, according to Ed Publica, under certain conditions—especially when oxygen levels are low—organic material can accumulate faster than it decomposes. Over millions of years, buried under layers of sediment such as sand, clay, and limestone, and subjected to increasing pressure and temperature, this organicmatter transforms into hydrocarbons—the main components of crude oil and natural gas.","Thông thường, sinh vật chết sẽ phân hủy và tan biến. Nhưng theo Ed Publica, trong một số điều kiện, đặc biệt là khi lượng oxy thấp, vật liệu hữu cơ có thể tích tụ nhanh hơn tốc độ phân hủy. Trải qua hàng triệu năm chôn vùi dưới nhiều lớp trầm tích như cát, đất sét, đá vôi với áp suất và chịu nhiệt độ tăng dần, vật liệuhữu cơ chuyển hóa thành hydrocarbon – thành phần chính của dầu thô và khí tự nhiên.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"Thanks to this favorable combination of geological conditions, the Middle East hosts some of the largest oil fields in the world. According to the Guinness World Records, the Ghawar oil field in eastern Saudi Arabia is the largest conventional oil field on Earth. Discovered in 1948, it covers 5,260 km² and is estimated to contain over 70 billion barrels of oil, with production of about 4 million barrels per day.","Nhờ sự kết hợp của các yếu tố địa chất thuận lợi, Trung Đông sở hữu một số mỏ dầu quy mô nhất thế giới. Theo tổ chức Kỷ lục Guinness Thế giới, mỏ Ghawar ở phía đông Arab Saudi là mỏ dầu truyền thống lớn nhất hành tinh. Được phát hiện vào năm 1948, mỏ rộng 5.260 km2, ước tính chứa hơn 70 tỷ thùng dầu với sản lượng khoảng 4 triệu thùng mỗi ngày.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"However, this is only part of the reason why the Middle East has become a global oil powerhouse. In fact, the country with the largest oil reserves in the world is not located here. According to statistics from the Organization of the Petroleum Exporting Countries in 2024, that title belongs to Venezuela with 303 billion barrels, accounting for about 17% of global reserves. Saudi Arabia ranks second with 267 billion barrels, followed by Iran (208 billion), Iraq (145 billion), and the UAE (113 billion). Canada, which has the fourth-largest oil reserves at 163 billion barrels, derives most of its oil from oil sands, which are not included in OPEC data.","Tuy nhiên, đây chỉ là một phần lý do giúp Trung Đông trở thành “gã khổnglồ” về sản lượng dầu mỏ toàn cầu. Thực tế, quốc gia có trữ lượng dầu mỏ lớn nhất thế giới không nằm tại đây. Theo thống kê của Tổ chức Các nước Xuất khẩu Dầu mỏ (OPEC) năm 2024, danh hiệu này thuộc về Venezuela với 303 tỷ thùng, chiếm khoảng 17% trữ lượng toàn cầu. Arab Saudi đứng thứ hai với 267 tỷ thùng, tiếp đến lần lượt là Iran (208 tỷ thùng), Iraq (145 tỷ thùng) và UAE (113 tỷ thùng). Canada vốn có trữ lượng dầu mỏ lớn thứ tư thế giới, 163 tỷ thùng, nhưng phần lớn đếntừ các mỏ dầu cát, không được tính vào dữ liệu của OPEC.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"There are different types of oil. According to IFLScience, oil in Venezuela is “thick and viscous,” making extraction difficult and processing costs high. In contrast, most oil in the Middle East is described as “light and sweet,” making it far more attractive to the market. It is also found in relatively shallowsedimentary layers, making it easier to extract from the surface.","Có nhiều dạng dầu mỏ khác nhau. Theo IFL Science, dầu mỏ ở Venezuela “đặc và dính“, khiến việc khai thác gặp nhiều khó khăn và chi phí xử lý cao. Trong khi đó, đa số dầu mỏ ở Trung Đông được mô tả là “nhẹ và ngọt”, nhờ đó hấp dẫn hơn nhiều với thị trường. Chúng cũng nằm trong các lớp trầm tíchtương đối nông, dễ khai thác từ bề mặt.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"Ed Publica also highlights the quality and accessibility of oilreservoirs in the Middle East. In many places, such as shale basins in North America, oil extraction requires advanced techniques like hydraulicfracturing. But in the Middle East, reservoirs are often large, under high pressure, and geologically simple. In some cases, early wells could even allow oil to flow naturally to the surface due to underground pressure.","Ed Publica đánh giá cao chất lượng và khả năng tiếp cận tầng chứadầu của Trung Đông. Ở nhiều nơi, ví dụ các bể đá phiến Bắc Mỹ, việc khai thác dầu mỏ đòi hỏi kỹ thuật tiên tiến như nứtvỡ thủy lực. Nhưng tại Trung Đông, các mỏ thường lớn, áp suất cao và cấu tạo địa chất đơn giản. Một số trường hợp, các giếng khoan ban đầu có thể để dầu tự trào lên bề mặt nhờ áp suất ngầm.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"These favorable conditions have enabled the Middle East to hold about 50% of the world’s remaining recoverable oil reserves, while also being one of the regions with the lowest production costs. This has helped shape the global energy market for decades.","Những điều kiện thuận lợi trên giúp Trung Đông nắm giữ khoảng 50% tổng trữ lượng dầu mỏ có thể khai thác còn lại của thế giới, đồng thời là một trong những khu vực có chi phí sản xuất dầu thấp nhất. Điều này đã góp phần định hình thị trường năng lượng toàn cầu suốt nhiều thập kỷ qua.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Two oil shocks that shook the global economy in the 1970s,"The world experienced two oil crises within less than a decade, which shook the global economy.","Thế giới từng trải qua hai cuộc khủng hoảng dầu mỏ trong vòng chưa đến 10 năm, làm rung chuyển kinh tế toàn cầu.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"The conflict between the US, Israel, and Iran is pushing the global energy market into an unprecedented state of tension, as the Strait of Hormuz—through which nearly 20% of the world’s oil supply passes—has been paralyzed. Energy prices have surged, and major economies are beginning to face inflationary pressure and slowing growth.","Cuộc chiến giữa Mỹ, Israel và Iran đang đẩy thị trường năng lượng toàn cầu vào trạng thái căng thẳngchưa từng thấy, khi tuyến vận tải eo biển Hormuz, nơi gần 20% nguồn cung dầu khí của thế giới đi qua, bị tê liệt. Giá năng lượng tăng vọt, các nền kinh tế lớn bắt đầu đối mặt áp lực lạm phát và suy giảm tăng trưởng.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"The current situation recalls the two oil shocks of 1973 and 1979, when geopolitical conflicts in the Middle East quickly turned into energy crises, triggering global economic recessions and reshaping the balance of power in the oil market for decades afterward.","Bối cảnh hiện tại gợi nhớ về hai cú sốc dầu mỏ năm 1973 và năm 1979, khi xung đột địa chínhtrị tại Trung Đông nhanh chóng biến thành khủng hoảng năng lượng, kéo theosuythoái kinh tế toàn cầu và làm thay đổi trật tự quyền lực trên thị trường dầu mỏ trong nhiều thập niên sau đó.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In 1948, Britain ended its mandate over Palestinian territory, leading to the creation of the State of Israel. However, most Arab countries in the region refused to recognize Israel, resulting in intermittent conflicts that escalated into wars in the following decades.","Năm 1948, nước Anh kết thúc sự ủy trị với vùng lãnh thổ của người Palestine, dẫn đến sự ra đời của Nhà nước Israel. Tuy nhiên, phần lớn các quốc gia Arab trong khu vực từ chối công nhận Israel, dẫn đến các cuộc xung đột nhỏ lẻ rồi leo thang thành chiến tranh trong những thập niên sau đó.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In early October 1973, the Yom Kippur War broke out when Egypt and Syria attacked Israel on the Jewish holy day of Yom Kippur. After the Soviet Union began supplying weapons to Egypt and Syria, US President Richard Nixon also provided military aid to Israel. In response, the Organization of Arab Petroleum Exporting Countries (OAPEC) reduced production and imposed an oil embargoonshipments to the US and the Netherlands, Israel’s main supporters.","Đầu tháng 10/1973, Cuộc chiến Yom Kippur bùng phát khi Ai Cập và Syria tấn công Israel đúng vào ngày lễ thiêng Yom Kippur của người Do Thái. Sau khi Liên Xô bắt đầu cung cấp vũ khí cho Ai Cập và Syria, Tổng thống Mỹ Richard Nixon cũng tiếp tế quân sự cho Israel. Để đáp trả, Tổ chức Các nước Arab Xuất khẩu Dầu mỏ (OAPEC) đã giảm sản lượng khai thác và áp lệnh cấm vậnđối với các chuyến hàng dầu mỏ tới Mỹ và Hà Lan, hai nước ủng hộ chính của Israel.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"The Yom Kippur War ended at the end of October that year, but OAPEC maintained its embargo and production cuts, leading to a global energy crisis.","Cuộc chiến Yom Kippur kết thúc cuối tháng 10 cùng năm, nhưng OAPEC vẫn duy trì các lệnh cấm vận và hạn chế sản lượng, dẫn đến một cuộc khủng hoảng năng lượng toàn cầu.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"The US had assumed that Gulf countries themselves would suffer from their own embargo, but in reality, Washington was mistaken, as higher oil prices compensatedfor reduced output. Within three months of the embargo, oil prices rose from $3 to $12 per barrel. Americans, who had been accustomed to abundant supply and rising consumption, now faced fuel shortages, resulting in long lines at gas stations.","Mỹ từng giả định các nước vùng Vịnh sẽ “gậy ông đập lưng ông” khi áp cấm vận, nhưng thực tế cho thấy Washington đã sai lầm, bởi giá dầu tăng cao đã bù đắp cho sản lượng giảm. Trong ba tháng sau khi lệnh cấm vận được công bố, giá dầu tăng từ 3 USD lên 12 USD mỗi thùng. Người Mỹ từ việc tận hưởng nguồn cung dồi dào, nhu cầu tiêu thụ ngày càng tăng phải đối mặt tình trạng thiếu hụt nhiên liệu, dẫn đến cảnh xếp hàng dài tại các trạm xăng.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"US authorities quickly implemented energy-saving measures, such as requiring gas stations to close on Sundays. The crisis also dealt aheavyblowto the US auto industry, allowing Japan to overtake it with compact and more fuel-efficient cars.","Giới chức Mỹ lập tức triển khai các biện pháp tiết kiệm năng lượng, như yêu cầu các trạm xăng đóng cửa vào Chủ nhật. Cuộc khủng hoảng còn giángđòn mạnhvào ngành ôtô Mỹ, khiến nước này bị Nhật Bản vượt mặt bằng những mẫu xe nhỏ gọn và tiết kiệm nhiênliệu hơn.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In Europe, rising oil prices led to an even more severe energy crisis than in the US. Most industrialized countries depended heavily on imported oil. Even the US, though less affected than Western Europe, imported up to 35% of its energy needs, while OPEC accounted for half of global oil exports.","Tại châu Âu, giá dầu tăng đã dẫn tới một cuộc khủng hoảng năng lượng còn nghiêm trọng hơn cả ở Mỹ. Hầu hết các nước công nghiệp hóa đều phụ thuộc nhiều vào dầu nhập khẩu. Ngay cả Mỹ, dù ít bị tổn thương hơn so với Tây Âu, cũng nhập khẩu tới 35% nhu cầu năng lượng của mình. Trong khi đó, OPEC chiếm nửa lượng dầu xuất khẩu của thế giới.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Countries such as the UK, Germany, Switzerland, Norway, and Denmark imposed restrictions on driving, boating, and flying. The British Prime Minister even urged people to heat only one room in their homes during winter.","Các quốc gia như Anh, Đức, Thụy Sĩ, Na Uy và Đan Mạch áp dụng các hạn chế về lái xe, đi thuyền và bay. Thủ tướng Anh thậm chí còn kêu gọi người dân chỉ sưởi ấm một phòng trong nhà vào mùa đông.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"The embargo was lifted in March 1974, but oil prices remained high, and the consequences of the crisis lasted for many years.","Lệnh cấm vận được gỡ bỏ vào tháng 3/1974, nhưng giá dầu vẫn giữ ở mức cao, khiến hệ lụy từ cuộc khủng hoảng năng lượng kéo dài nhiều năm.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In the US, the crisis promptedsubsequent presidents to prioritize energy security. The country boosted domestic oil production, reduced dependence on fossil fuels, and soughtalternative energy sources such as renewable and nuclear energy.","Tại Mỹ, cuộc khủng hoảng thúc đẩy các đời tổng thống sau đó coi an ninh năng lượng là một trong những ưu tiên hàng đầu. Mỹ đã thúc đẩy sản xuất dầu trong nước đồng thời giảm sự phụ thuộc vào nhiên liệu hóa thạch và tìm kiếm các nguồn năng lượng thay thế, như năng lượng tái tạo và năng lượng hạt nhân.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"During the 1970s, many laws were introduced to change how the US used energy, from the Emergency Petroleum AllocationAct of 1973 to the establishment of the Department of Energy in 1977. One notable measure was the creation of the Strategic Petroleum Reserve in 1975, which currently has a capacity of 714 million barrels.","Trong thập niên 1970, nhiều đạo luật ra đời để thay đổi cách Mỹ sử dụng năng lượng, từ ĐạoluậtPhân phối Dầu Khẩn cấp năm 1973 đến thành lập Bộ Năng lượng năm 1977. Một trong những biện pháp đáng chú ý là thiết lập kho dự trữ dầu chiến lược năm 1975, hiện tại có sứcchứa 714 triệu thùng.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Other Western economies gradually adapted to high oil prices and inflationary pressures, easing the extreme policies implemented after the 1973 crisis. However, this confidence disappeared when the next crisis erupted in the Middle East.","Các nền kinh tế phương Tây khác cũng dần thích nghi với giá dầu cao và áp lực lạm phát, bắt đầu nới lỏng các chính sách điều chỉnh cực đoan mà họ triển khai ngay sau cuộc khủng hoảng dầu mỏ 1973. Tuy nhiên, sự tự tin này đã biến mất khi cuộc khủng hoảng tiếp theo nổ ra tại Trung Đông.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In January 1979, Iran’s Shah Mohammad Reza Pahlavi was overthrown in the Islamic Revolution, leading to protests that disrupted the oil industry and removed 3–4 million barrels per day from the global market. When Iran resumed exports, its output remained unstable and lower than before, pushing prices upward.","Tháng 1/1979, quốc vương Iran Mohammad Reza Pahlavi bị lật đổ trong cuộc Cách mạng Hồi giáo, dẫn đến các cuộc biểu tình, làmgián đoạn ngành dầu mỏ, khiến thị trường toàn cầu mất đi nguồn cung 3-4 triệu thùng một ngày. Khi chính quyền mới tại Iran nối lại xuất khẩu dầu, sản lượng của Tehran không ổn định và thấp hơn trước, khiến giá dầu tăng.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Saudi Arabia and other OPEC countries increased production to compensate, but total output still fell by about 4%. Meanwhile, widespread panic drove oil prices much higher than expected under normal conditions.","Arab Saudi và các nước OPEC khác đã tăng sản lượng để bù đắp sự sụt giảm này, nhưng tổng sản lượng vẫn giảm khoảng 4%. Tuy nhiên, tâm lý hoảng loạn lan rộng đã đẩy giá dầu lên cao hơn nhiều so với mức dự đoán trong các điều kiện bình thường.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"In September 1980, Iraqi leader Saddam Hussein launched a war against Iran, taking advantage of its instability. The conflict lasted eight years, severely cutting oil production in both countries and removing another 3 million barrels per day from global supply.","Tháng 9/1980, lãnh đạo Iraq Saddam Hussein phát động cuộc chiến với Iran, tranh thủ thời điểm nước láng giềng còn bất ổn, dẫn đến cuộc chiến kéo dài 8 năm, hoạt động sản xuất dầu của cả Baghdad và Tehran đều bị cắt giảm nghiêm trọng. Thế giới mất thêm nguồn cung khoảng 3 triệu thùng một ngày từ Iraq.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Oil prices surged from $16 per barrel in January 1980 to $36 by the end of September. This $20 increase had a severe impact on the global economy. Western oil-importing countries quickly adopted strict monetary policies to combat inflation, leading to the global recession of 1980–1982.","Giá dầu tăng vọt, từ 16 USD một thùng vào tháng 1/1980 lên 36 USD một thùng cuối tháng 9 cùng năm. Mức tăng 20 USD mỗi thùng này tác động nghiêm trọng đến nền kinh tế toàn cầu. Các nước nhập khẩu dầu phương Tây nhanh chóng áp dụng các chính sách tiền tệ nghiêm ngặt để đối phó với áp lực lạm phát mới, dẫn đến cuộcsuy thoái kinh tế thế giới năm 1980-1982.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Economic output declined sharply, and unemployment rates in many industrialized countries rose to double digits, the highest since World War II. In the US, unemployment exceeded 10% in 1982, while in the UK and Europe, prolongedstagnation left millions jobless.","Kinh tế các nước sụt giảm mạnh, tỷ lệ thất nghiệp tại nhiều quốc gia công nghiệp đã tăng vọt lên mức hai chữ số, cao nhất kể từ sau Thế chiến II. Tại Mỹ, tỷ lệ này vượt 10% vào năm 1982, trong khi tại Anh và các nước châu Âu, tình trạng trì trệ kéo dài khiến hàng triệu người mất việc làm.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Oil prices began to cool as other countries increased production to offset shortages. Prices continued to decline steadily over the next 20 years, except for a briefspike during the Gulf War. Compared to 1980, oil prices in the 1990s had fallen by about 60%.","Giá dầu bắt đầu hạ nhiệt khi các quốc gia khác tăng sản lượng để bù đắp phần thiếu hụt này. Giá dầu tiếp tục giảm đều trong 20 năm tiếp theo, ngoại trừ một đợt tăng ngắn trong thời kỳ Chiến tranh vùng Vịnh. So với năm 1980, giá dầu những năm 1990 đã giảm khoảng 60%.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"“One lesson from the 1970s is that people must have emergency reserves to prepare for crises like the current one,” said Pavel Molchanov, an analyst at Raymond James.","“Một bài học rút ra từ những năm 1970 là mọi người phải có dự trữ khẩn cấp đề phòng cuộc khủng hoảng như hiện tại”, Pavel Molchanov, nhà phân tích tại Raymond James, nói.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"On March 23, Fatih Birol, Executive Director of the International Energy Agency (IEA), warned that the current crisis could be even more severe.",Giám đốc điều hành Cơ quan Năng lượng Quốc tế (IEA) Fatih Birol ngày 23/3 vừa qua cảnh báo cuộc khủng hoảng mà thế giới đang đối mặt thậm chí còn nghiêm trọng hơn như vậy.,https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"On March 11, the IEA announced that its 32 member countries had agreed to release a total of 400 million barrels of oil from reserves—equivalent to one-third of their total stockpiles—to cool the energy market. This is the largest release in the IEA’s history, more than double the 182 million barrels released when the Ukraine conflict broke out in February 2022.","IEA hôm 11/3 cho biết 32 thành viên tổ chức đã nhất trí bơm tổng cộng 400 triệu thùng dầu từ kho dự trữ ra thị trường dầu thô, tương đương 1/3 tổng số dầu trong kho dự trữ của họ để hạ nhiệt thị trường năng lượng. Đây là đợt xả kho lớn nhất của IEA, gấp hơn hai lần con số 182 triệu thùng khi chiến sự Ukraine bùng phát hồi tháng 2/2022.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
Two oil shocks that shook the global economy in the 1970s,"Observers warn that releasing reserves is only a short-term measure, and even if the Strait of Hormuz reopens, oil prices may remain high.","Giới quan sát cảnh báo việc bơm dầu dự trữ ra thị trường chỉ là biện pháp ngắn hạn và ngay cả khi eo biển Hormuz mở cửa trở lại, giá dầu vẫn có thể neo ở mức cao.",https://readtoolead.com/two-oil-shocks-that-shook-the-global-economy-in-the-1970s
